,DIAGNOSIS CODE,LONG DESCRIPTION,HIERARCHY
0,0010,Cholera due to vibrio cholerae,"['001-139', '001-009', '001', '0010']"
1,0011,Cholera due to vibrio cholerae el tor,"['001-139', '001-009', '001', '0011']"
2,0019,"Cholera, unspecified","['001-139', '001-009', '001', '0019']"
3,0020,Typhoid fever,"['001-139', '001-009', '002', '0020']"
4,0021,Paratyphoid fever A,"['001-139', '001-009', '002', '0021']"
5,0022,Paratyphoid fever B,"['001-139', '001-009', '002', '0022']"
6,0023,Paratyphoid fever C,"['001-139', '001-009', '002', '0023']"
7,0029,"Paratyphoid fever, unspecified","['001-139', '001-009', '002', '0029']"
8,0030,Salmonella gastroenteritis,"['001-139', '001-009', '003', '0030']"
9,0031,Salmonella septicemia,"['001-139', '001-009', '003', '0031']"
10,0032,Localized salmonella infections,"['001-139', '001-009', '003', '0032']"
11,00320,"Localized salmonella infection, unspecified","['001-139', '001-009', '003', '0032', '00320']"
12,00321,Salmonella meningitis,"['001-139', '001-009', '003', '0032', '00321']"
13,00322,Salmonella pneumonia,"['001-139', '001-009', '003', '0032', '00322']"
14,00323,Salmonella arthritis,"['001-139', '001-009', '003', '0032', '00323']"
15,00324,Salmonella osteomyelitis,"['001-139', '001-009', '003', '0032', '00324']"
16,00329,Other localized salmonella infections,"['001-139', '001-009', '003', '0032', '00329']"
17,0038,Other specified salmonella infections,"['001-139', '001-009', '003', '0038']"
18,0039,"Salmonella infection, unspecified","['001-139', '001-009', '003', '0039']"
19,0040,Shigella dysenteriae,"['001-139', '001-009', '004', '0040']"
20,0041,Shigella flexneri,"['001-139', '001-009', '004', '0041']"
21,0042,Shigella boydii,"['001-139', '001-009', '004', '0042']"
22,0043,Shigella sonnei,"['001-139', '001-009', '004', '0043']"
23,0048,Other specified shigella infections,"['001-139', '001-009', '004', '0048']"
24,0049,"Shigellosis, unspecified","['001-139', '001-009', '004', '0049']"
25,0050,Staphylococcal food poisoning,"['001-139', '001-009', '005', '0050']"
26,0051,Botulism food poisoning,"['001-139', '001-009', '005', '0051']"
27,0052,Food poisoning due to Clostridium perfringens (C. welchii),"['001-139', '001-009', '005', '0052']"
28,0053,Food poisoning due to other Clostridia,"['001-139', '001-009', '005', '0053']"
29,0054,Food poisoning due to Vibrio parahaemolyticus,"['001-139', '001-009', '005', '0054']"
30,0058,Other bacterial food poisoning,"['001-139', '001-009', '005', '0058']"
31,00581,Food poisoning due to Vibrio vulnificus,"['001-139', '001-009', '005', '0058', '00581']"
32,00589,Other bacterial food poisoning,"['001-139', '001-009', '005', '0058', '00589']"
33,0059,"Food poisoning, unspecified","['001-139', '001-009', '005', '0059']"
34,0060,Acute amebic dysentery without mention of abscess,"['001-139', '001-009', '006', '0060']"
35,0061,Chronic intestinal amebiasis without mention of abscess,"['001-139', '001-009', '006', '0061']"
36,0062,Amebic nondysenteric colitis,"['001-139', '001-009', '006', '0062']"
37,0063,Amebic liver abscess,"['001-139', '001-009', '006', '0063']"
38,0064,Amebic lung abscess,"['001-139', '001-009', '006', '0064']"
39,0065,Amebic brain abscess,"['001-139', '001-009', '006', '0065']"
40,0066,Amebic skin ulceration,"['001-139', '001-009', '006', '0066']"
41,0068,Amebic infection of other sites,"['001-139', '001-009', '006', '0068']"
42,0069,"Amebiasis, unspecified","['001-139', '001-009', '006', '0069']"
43,0070,Balantidiasis,"['001-139', '001-009', '007', '0070']"
44,0071,Giardiasis,"['001-139', '001-009', '007', '0071']"
45,0072,Coccidiosis,"['001-139', '001-009', '007', '0072']"
46,0073,Intestinal trichomoniasis,"['001-139', '001-009', '007', '0073']"
47,0074,Cryptosporidiosis,"['001-139', '001-009', '007', '0074']"
48,0075,Cyclosporiasis,"['001-139', '001-009', '007', '0075']"
49,0078,Other specified protozoal intestinal diseases,"['001-139', '001-009', '007', '0078']"
50,0079,Unspecified protozoal intestinal disease,"['001-139', '001-009', '007', '0079']"
51,0080,Intestinal infection due to escherichia coli [e. coli],"['001-139', '001-009', '008', '0080']"
52,00800,"Intestinal infection due to E. coli, unspecified","['001-139', '001-009', '008', '0080', '00800']"
53,00801,Intestinal infection due to enteropathogenic E. coli,"['001-139', '001-009', '008', '0080', '00801']"
54,00802,Intestinal infection due to enterotoxigenic E. coli,"['001-139', '001-009', '008', '0080', '00802']"
55,00803,Intestinal infection due to enteroinvasive E. coli,"['001-139', '001-009', '008', '0080', '00803']"
56,00804,Intestinal infection due to enterohemorrhagic E. coli,"['001-139', '001-009', '008', '0080', '00804']"
57,00809,Intestinal infection due to other intestinal E. coli infections,"['001-139', '001-009', '008', '0080', '00809']"
58,0081,Intestinal infection due to arizona group of paracolon bacilli,"['001-139', '001-009', '008', '0081']"
59,0082,Intestinal infection due to aerobacter aerogenes,"['001-139', '001-009', '008', '0082']"
60,0083,Intestinal infection due to proteus (mirabilis) (morganii),"['001-139', '001-009', '008', '0083']"
61,0084,Intestinal infection due to other specified bacteria,"['001-139', '001-009', '008', '0084']"
62,00841,Intestinal infection due to staphylococcus,"['001-139', '001-009', '008', '0084', '00841']"
63,00842,Intestinal infection due to pseudomonas,"['001-139', '001-009', '008', '0084', '00842']"
64,00843,Intestinal infection due to campylobacter,"['001-139', '001-009', '008', '0084', '00843']"
65,00844,Intestinal infection due to yersinia enterocolitica,"['001-139', '001-009', '008', '0084', '00844']"
66,00845,Intestinal infection due to Clostridium difficile,"['001-139', '001-009', '008', '0084', '00845']"
67,00846,Intestinal infection due to other anaerobes,"['001-139', '001-009', '008', '0084', '00846']"
68,00847,Intestinal infection due to other gram-negative bacteria,"['001-139', '001-009', '008', '0084', '00847']"
69,00849,Intestinal infection due to other organisms,"['001-139', '001-009', '008', '0084', '00849']"
70,0085,"Bacterial enteritis, unspecified","['001-139', '001-009', '008', '0085']"
71,0086,Enteritis due to specified virus,"['001-139', '001-009', '008', '0086']"
72,00861,Enteritis due to rotavirus,"['001-139', '001-009', '008', '0086', '00861']"
73,00862,Enteritis due to adenovirus,"['001-139', '001-009', '008', '0086', '00862']"
74,00863,Enteritis due to norwalk virus,"['001-139', '001-009', '008', '0086', '00863']"
75,00864,Enteritis due to other small round viruses [SRV's],"['001-139', '001-009', '008', '0086', '00864']"
76,00865,Enteritis due to calicivirus,"['001-139', '001-009', '008', '0086', '00865']"
77,00866,Enteritis due to astrovirus,"['001-139', '001-009', '008', '0086', '00866']"
78,00867,Enteritis due to enterovirus nec,"['001-139', '001-009', '008', '0086', '00867']"
79,00869,Enteritis due to other viral enteritis,"['001-139', '001-009', '008', '0086', '00869']"
80,0088,"Intestinal infection due to other organism, not elsewhere classified","['001-139', '001-009', '008', '0088']"
81,0090,"Infectious colitis, enteritis, and gastroenteritis","['001-139', '001-009', '009', '0090']"
82,0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin","['001-139', '001-009', '009', '0091']"
83,0092,Infectious diarrhea,"['001-139', '001-009', '009', '0092']"
84,0093,Diarrhea of presumed infectious origin,"['001-139', '001-009', '009', '0093']"
85,0100,Primary tuberculous complex,"['001-139', '010-018', '010', '0100']"
86,01000,"Primary tuberculous infection, unspecified","['001-139', '010-018', '010', '0100', '01000']"
87,01001,"Primary tuberculous infection, bacteriological or histological examination not done","['001-139', '010-018', '010', '0100', '01001']"
88,01002,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '010', '0100', '01002']"
89,01003,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '010', '0100', '01003']"
90,01004,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '010', '0100', '01004']"
91,01005,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '010', '0100', '01005']"
92,01006,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '010', '0100', '01006']"
93,0101,Tuberculous pleurisy in primary progressive tuberculosis,"['001-139', '010-018', '010', '0101']"
94,01010,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified","['001-139', '010-018', '010', '0101', '01010']"
95,01011,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done","['001-139', '010-018', '010', '0101', '01011']"
96,01012,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '010', '0101', '01012']"
97,01013,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '010', '0101', '01013']"
98,01014,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '010', '0101', '01014']"
99,01015,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '010', '0101', '01015']"
100,01016,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '010', '0101', '01016']"
101,0108,Other primary progressive tuberculosis,"['001-139', '010-018', '010', '0108']"
102,01080,"Other primary progressive tuberculosis, unspecified","['001-139', '010-018', '010', '0108', '01080']"
103,01081,"Other primary progressive tuberculosis, bacteriological or histological examination not done","['001-139', '010-018', '010', '0108', '01081']"
104,01082,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '010', '0108', '01082']"
105,01083,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '010', '0108', '01083']"
106,01084,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '010', '0108', '01084']"
107,01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '010', '0108', '01085']"
108,01086,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '010', '0108', '01086']"
109,0109,Primary tuberculous infection unspecified type,"['001-139', '010-018', '010', '0109']"
110,01090,"Primary tuberculous infection, unspecified, unspecified","['001-139', '010-018', '010', '0109', '01090']"
111,01091,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done","['001-139', '010-018', '010', '0109', '01091']"
112,01092,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '010', '0109', '01092']"
113,01093,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '010', '0109', '01093']"
114,01094,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '010', '0109', '01094']"
